,Model,Samples,Mean_fit,Max_fit
43,( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-pseudorandom  ) ) (( combine (( consider-pseudorandom  ) ) (( consider-random  ) )  ) )  ) )  ) ,"[0.5020933896061169, 0.5035855743890527, 0.5020498819747448, 0.5024541161364013, 0.500666071405534, 0.5012981707874636, 0.5028264023037752, 0.5005652485360617, 0.502308649467912, 0.5030765689912449, 0.5002960664961859, 0.5025948634584316, 0.5018799319675556, 0.4998892168647538, 0.5052939558552043, 0.503185327709132, 0.5007056275389495, 0.5011707917051406, 0.505129831202778, 0.50226022631491, 0.5026356560713464, 0.5028267257549848, 0.5017831517755591, 0.5035750345638269, 0.5032632677318181, 0.504862845238728, 0.5005365920952916, 0.5010444808358092, 0.5026645360627304, 0.5014950766283155]",0.5022672426489919,0.5052939558552043
45,( get-max-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,"[0.4993564442900398, 0.5022597400272053, 0.5034253644434457, 0.5008101339952813, 0.5025153575044956, 0.5001051366822512, 0.5021163870072689, 0.5031130342509014, 0.5015422046356922, 0.5017847822209536, 0.5041072614762391, 0.5014519065064639, 0.5030443483501802, 0.5030291416492787, 0.5018849507050357, 0.5023732827981396, 0.5010853653680286, 0.5022326538386619, 0.5021311409539376, 0.5031636713579836, 0.5013970728066749, 0.5013059447411782, 0.5045396836772192, 0.5026830911995629, 0.5009668418330331, 0.502171723654125, 0.5018126928980824, 0.5025913412834052, 0.5004314742749377, 0.5024358366113586]",0.5020622670347021,0.5045396836772192
4,( get-max-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,"[0.5005191933160293, 0.5023544927599634, 0.5013904183841307, 0.5020008417903643, 0.5006442409488945, 0.5020620957855865, 0.502414981475464, 0.5037781654579256, 0.5021702652910537, 0.5027664545934111, 0.5004322024326787, 0.5013411078789954, 0.5014774916113391, 0.5019847033388194, 0.5005227656163368, 0.5030277193858936, 0.4982126193003987, 0.504448406816303, 0.5023901075980649, 0.5044269750240786, 0.5038751963379035, 0.4996767485221037, 0.504261556920287, 0.4988424683149474, 0.5007339909411168, 0.5024144826015725, 0.5003218988578337, 0.5003100304171992, 0.5061833322818177, 0.5014490937057267]",0.5018811349235414,0.5061833322818177
21,( get-max-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,"[0.5036979585179001, 0.5022417028524795, 0.505437210557915, 0.5024808755557647, 0.5030232749583093, 0.5014123054438144, 0.5042619681588083, 0.5014785622016089, 0.500602893550353, 0.4998234187941612, 0.4998453180567008, 0.5027409693246491, 0.5040810160911671, 0.5030674591510738, 0.5010160464530992, 0.5029174161643456, 0.5016765635537189, 0.5011995751630983, 0.5008920166118367, 0.5011600340645902, 0.501407841298727, 0.5003633022321805, 0.5035679992509434, 0.5006940132479724, 0.5021474217715984, 0.500097379956632, 0.5027057138348511, 0.4995136687633248, 0.4997287526781141, 0.5019147131744837]",0.5018399130478074,0.505437210557915
30,( get-max-one-of (( possible-decisions  ) ) (( multiply (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,"[0.5008739740090562, 0.5008928098831539, 0.5028249486665904, 0.5011389292177082, 0.5018052799270232, 0.5043529028072472, 0.5017010969798361, 0.50156960446383, 0.5032522846868224, 0.5011577551351256, 0.4998124914768106, 0.5038031050137896, 0.5005963777075769, 0.5033440518491137, 0.5019567994054811, 0.5012488264821995, 0.4986963808427747, 0.4974411766081323, 0.5017024550890014, 0.5037391905750475, 0.5021931806946649, 0.5023983173843473, 0.5038438967734701, 0.5009841450296117, 0.5041429703847146, 0.5026946553793906, 0.4993352166964263, 0.5004595849352215, 0.5018393682278426, 0.5011675782159011]",0.5016989784849304,0.5043529028072472
73,( get-min-one-of (( possible-decisions  ) ) (( consider-random  ) )  ) ,"[0.5029455589578006, 0.4991835785200285, 0.5005050381363219, 0.5009609898317883, 0.5059421874838459, 0.5017081971028037, 0.501184667176576, 0.503905454060854, 0.5000626668660899, 0.5002963859508688, 0.5025173727956929, 0.5041776473922301, 0.5026413843815238, 0.5011052800240738, 0.5013110649022966, 0.5004999271363887, 0.5030113229021447, 0.5008528499774625, 0.5004587278727517, 0.5012063241142843, 0.5011566589633353, 0.5019873411876216, 0.5033630799754842, 0.499214129415599, 0.501772417246484, 0.5011117895086081, 0.5034502706191412, 0.5009928977723664, 0.5021641374832816, 0.5007119485790688]",0.5016800432112272,0.5059421874838459
64,( get-min-one-of (( possible-decisions  ) ) (( combine (( consider-random  ) ) (( consider-random  ) )  ) )  ) ,"[0.5021277356467249, 0.5007821256768739, 0.501513796411067, 0.5029180869492464, 0.5026282290728026, 0.500374670612492, 0.5010081504678076, 0.5023102820049595, 0.501252163427958, 0.5011234054495219, 0.5031755392932626, 0.5018866047076006, 0.5011040783894473, 0.5019525737735537, 0.5012358770383131, 0.4994018344773076, 0.4999235113059994, 0.5009524656619007, 0.5023136812433556, 0.5041335495047554, 0.503264547533308, 0.5026783436634732, 0.4990843687559675, 0.5012514617147685, 0.5027158224137895, 0.5026492444496019, 0.5014450581244683, 0.5010915453431173, 0.4999258639728038, 0.5030858670148863]",0.5016436828033711,0.5041335495047554
17,( get-max-one-of (( possible-decisions  ) ) (( combine (( subtract (( consider-random  ) ) (( consider-random  ) )  ) ) (( consider-random  ) )  ) )  ) ,"[0.5048552728989061, 0.4999270448161569, 0.4998082714230347, 0.498740718311796, 0.5024326449663493, 0.4994656463190658, 0.5024578074365025, 0.5002613743658824, 0.5023641519666748, 0.5016446787239199, 0.5042520122565649, 0.5005081061152064, 0.5060848610618447, 0.5010154176361348, 0.5021270182414495, 0.5007748644763638, 0.4983278114769841, 0.5003084214496084, 0.4988832483771346, 0.5019027715418095, 0.500094929431905, 0.4990513769800284, 0.4977415006210403, 0.5027190126652001, 0.5031030400301386, 0.5021561735199925, 0.5028052041859514, 0.5004466917816935, 0.5027328374361306, 0.5039093413632127]",0.5013634083958894,0.5060848610618447
19,( get-max-one-of (( possible-decisions  ) ) (( combine (( subtract (( downstream-homophily  ) ) (( consider-random  ) )  ) ) (( consider-random  ) )  ) )  ) ,"[0.4986475063232677, 0.4999009130384706, 0.5008357091956603, 0.4966928477855017, 0.5037269852044712, 0.5056346850330693, 0.502683992944554, 0.499664741740551, 0.499448586853614, 0.5007868318386947, 0.5028094492832408, 0.5020931257289829, 0.5014489657970418, 0.500089751542088, 0.4993747220922088, 0.4986218170179014, 0.4980864408933962, 0.498667233777718, 0.5026191234095476, 0.5028674852715221, 0.5049823765000665, 0.4961915364071609, 0.4932237789577018, 0.500068713280918, 0.5020994025055018, 0.4985259994344255, 0.5037301535211578, 0.497160303085218, 0.4976587211978167, 0.5005163124157537]",0.5002952737359074,0.5056346850330693
86,( get-min-one-of (( possible-decisions  ) ) (( subtract (( consider-random  ) ) (( downstream-homophily  ) )  ) )  ) ,"[0.4999059638925359, 0.5016972927328647, 0.4996346873195068, 0.4998265113398147, 0.4982376998690617, 0.4955543872330906, 0.5044635221472863, 0.4969127959962347, 0.4985481633630963, 0.5028603496312407, 0.5018308604822185, 0.4968675062788958, 0.49982548038978, 0.5070660594947766, 0.4928707271210467, 0.494584700878676, 0.5004408673052652, 0.495063072553273, 0.5084298343760801, 0.5024580407099433, 0.5042568928627551, 0.4981694421097038, 0.4988435422231574, 0.4963533063840595, 0.5023226743275006, 0.5007422401176721, 0.4971637834663391, 0.4962764968280954, 0.5015804452560128, 0.5002688182953929]",0.49976853883284583,0.5084298343760801
94,( get-min-one-of (( possible-decisions  ) ) (( subtract (( subtract (( consider-random  ) ) (( consider-random  ) )  ) ) (( upstream-homophily  ) )  ) )  ) ,"[0.4973915769185188, 0.4995611742080731, 0.500305047138201, 0.5036112361901445, 0.4971866281592104, 0.4946158981400094, 0.4970374240644171, 0.501901766990513, 0.5047855631846115, 0.5034055862738637, 0.5028201245529549, 0.5023221622135748, 0.5049911050835281, 0.5033437196850187, 0.498445647882825, 0.4980457570265849, 0.4971385263776065, 0.495918800996284, 0.5032084391153057, 0.4950137986113936, 0.4968954318939115, 0.4984723367186168, 0.5011409475010439, 0.4957223744201693, 0.5021193504221397, 0.498117986971452, 0.4989203508091069, 0.4983138130599204, 0.4996622480629621, 0.4976736185988114]",0.4996029480423592,0.5049911050835281
